wavelength,total_nadir,ps1_nadir,ps2_nadir,total_vza-60,total_vza-55,total_vza-50,total_vza-45,total_vza-40,total_vza-35,total_vza-30,total_vza-25,total_vza-20,total_vza-15,total_vza-10,total_vza-5,total_vza0,total_vza5,total_vza10,total_vza15,total_vza20,total_vza25,total_vza30,total_vza35,total_vza40,total_vza45,total_vza50,total_vza55,total_vza60
822.00000000,0.05176987,0.05176987,0.00000000,0.08142588,0.07686126,0.07263000,0.06888065,0.06575141,0.06319501,0.06151752,0.06142500,0.07461905,0.05784547,0.05460198,0.05284414,0.05176987,0.05112096,0.05082202,0.05089087,0.05123034,0.05201150,0.05307663,0.05454274,0.05642837,0.05890307,0.06172578,0.06505594,0.06902495
823.00000000,0.04962730,0.04962730,0.00000000,0.07804903,0.07367445,0.06961935,0.06602610,0.06302714,0.06057719,0.05896961,0.05888115,0.07152768,0.05545052,0.05234177,0.05065697,0.04962730,0.04900531,0.04871873,0.04878462,0.04910988,0.04985842,0.05087911,0.05228408,0.05409112,0.05646268,0.05916777,0.06235920,0.06616288
824.00000000,0.04753848,0.04753848,0.00000000,0.07475509,0.07056606,0.06668299,0.06324215,0.06037041,0.05802441,0.05648511,0.05640067,0.06851303,0.05311540,0.05013815,0.04852462,0.04753848,0.04694275,0.04666822,0.04673118,0.04704255,0.04775921,0.04873649,0.05008173,0.05181200,0.05408282,0.05667305,0.05972898,0.06337122
825.00000000,0.04544164,0.04544164,0.00000000,0.07145196,0.06744868,0.06373780,0.06044953,0.05770514,0.05546321,0.05399227,0.05391187,0.06548978,0.05077210,0.04792643,0.04638422,0.04544164,0.04487218,0.04460969,0.04466973,0.04496716,0.04565190,0.04658571,0.04787115,0.04952456,0.05169452,0.05416975,0.05709003,0.06057063
826.00000000,0.04344582,0.04344582,0.00000000,0.06830856,0.06448201,0.06093496,0.05779186,0.05516862,0.05302571,0.05161983,0.05154336,0.06261336,0.04854197,0.04582140,0.04434700,0.04344582,0.04290133,0.04265026,0.04270748,0.04299164,0.04364597,0.04453839,0.04576689,0.04734715,0.04942110,0.05178689,0.05457807,0.05790487
827.00000000,0.04145696,0.04145696,0.00000000,0.06517596,0.06152550,0.05814168,0.05514322,0.05264071,0.05059643,0.04925532,0.04918259,0.05974505,0.04631919,0.04372351,0.04231679,0.04145696,0.04093742,0.04069781,0.04075229,0.04102330,0.04164741,0.04249867,0.04367053,0.04517797,0.04715637,0.04941319,0.05207582,0.05524944
828.00000000,0.03956976,0.03956976,0.00000000,0.06220398,0.05872055,0.05549156,0.05263029,0.05024229,0.04829159,0.04701192,0.04694279,0.05702428,0.04421025,0.04173295,0.04039039,0.03956976,0.03907386,0.03884510,0.03889697,0.03915547,0.03975089,0.04056308,0.04168119,0.04311952,0.04500725,0.04716068,0.04970134,0.05272963
829.00000000,0.03767395,0.03767395,0.00000000,0.05922139,0.05590531,0.05283146,0.05010766,0.04783439,0.04597745,0.04475938,0.04469392,0.05429411,0.04209245,0.03973367,0.03845535,0.03767395,0.03720171,0.03698379,0.03703300,0.03727895,0.03784559,0.03861860,0.03968281,0.04105189,0.04284872,0.04489853,0.04731696,0.05019961
830.00000000,0.03583775,0.03583775,0.00000000,0.05633213,0.05317817,0.05025460,0.04766397,0.04550184,0.04373571,0.04257726,0.04251520,0.05164781,0.04004079,0.03779704,0.03658107,0.03583775,0.03538850,0.03518114,0.03522786,0.03546170,0.03600054,0.03673567,0.03774776,0.03904981,0.04075868,0.04270818,0.04500828,0.04774992
831.00000000,0.03405478,0.03405478,0.00000000,0.05352677,0.05053020,0.04775253,0.04529117,0.04323694,0.04155897,0.04045839,0.04039961,0.04907805,0.03804857,0.03591653,0.03476110,0.03405478,0.03362786,0.03343077,0.03347507,0.03369718,0.03420904,0.03490740,0.03586889,0.03710588,0.03872939,0.04058152,0.04276675,0.04537150
832.00000000,0.03231855,0.03231855,0.00000000,0.05079711,0.04795348,0.04531759,0.04298185,0.04103248,0.03944017,0.03839584,0.03834029,0.04657770,0.03610911,0.03408557,0.03298895,0.03231855,0.03191332,0.03172619,0.03176813,0.03197881,0.03246444,0.03312706,0.03403937,0.03521312,0.03675364,0.03851113,0.04058472,0.04305643
833.00000000,0.03063602,0.03063602,0.00000000,0.04815186,0.04545644,0.04295793,0.04074393,0.03889616,0.03738686,0.03639703,0.03634457,0.04415438,0.03422956,0.03231120,0.03127158,0.03063602,0.03025181,0.03007435,0.03011401,0.03031364,0.03077386,0.03140185,0.03226651,0.03337900,0.03483912,0.03650492,0.03847034,0.04081314
834.00000000,0.02895928,0.02895928,0.00000000,0.04551532,0.04296762,0.04060604,0.03851338,0.03676688,0.03534031,0.03440475,0.03435525,0.04173776,0.03235610,0.03054276,0.02956006,0.02895928,0.02859609,0.02842832,0.02846577,0.02865443,0.02908939,0.02968293,0.03050016,0.03155164,0.03293169,0.03450616,0.03636382,0.03857819
